@RELATION CrackleTest_dataset

@ATTRIBUTE MEAN_GFCC1	REAL
@ATTRIBUTE MEAN_GFCC2	REAL
@ATTRIBUTE MEAN_GFCC3	REAL
@ATTRIBUTE MEAN_GFCC4	REAL
@ATTRIBUTE MEAN_GFCC5	REAL
@ATTRIBUTE MEAN_GFCC6	REAL
@ATTRIBUTE MEAN_GFCC7	REAL
@ATTRIBUTE MEAN_GFCC8	REAL
@ATTRIBUTE MEAN_GFCC9	REAL
@ATTRIBUTE MEAN_GFCC10	REAL
@ATTRIBUTE MEAN_GFCC11	REAL
@ATTRIBUTE MEAN_GFCC12	REAL
@ATTRIBUTE MEAN_GFCC13	REAL
@ATTRIBUTE MEAN_GFCC14	REAL
@ATTRIBUTE MEAN_GFCC15	REAL
@ATTRIBUTE MEAN_GFCC16	REAL
@ATTRIBUTE MEAN_GFCC17	REAL
@ATTRIBUTE MEAN_GFCC18	REAL
@ATTRIBUTE MEAN_GFCC19	REAL
@ATTRIBUTE MEAN_GFCC20	REAL
@ATTRIBUTE MEAN_GFCC21	REAL
@ATTRIBUTE MEAN_GFCC22	REAL
@ATTRIBUTE MEAN_GFCC23	REAL
@ATTRIBUTE MEAN_GFCC24	REAL
@ATTRIBUTE MEAN_GFCC25	REAL
@ATTRIBUTE MEAN_GFCC26	REAL
@ATTRIBUTE MEAN_GFCC27	REAL
@ATTRIBUTE MEAN_GFCC28	REAL
@ATTRIBUTE MEAN_GFCC29	REAL
@ATTRIBUTE MEAN_GFCC30	REAL
@ATTRIBUTE MEAN_GFCC31	REAL
@ATTRIBUTE MEAN_GFCC32	REAL
@ATTRIBUTE MEAN_GFCC33	REAL
@ATTRIBUTE MEAN_GFCC34	REAL
@ATTRIBUTE MEAN_GFCC35	REAL
@ATTRIBUTE MEAN_GFCC36	REAL
@ATTRIBUTE MEAN_GFCC37	REAL
@ATTRIBUTE MEAN_GFCC38	REAL
@ATTRIBUTE MEAN_GFCC39	REAL
@ATTRIBUTE MEAN_GFCC40	REAL
@ATTRIBUTE STD_GFCC1	REAL
@ATTRIBUTE STD_GFCC2	REAL
@ATTRIBUTE STD_GFCC3	REAL
@ATTRIBUTE STD_GFCC4	REAL
@ATTRIBUTE STD_GFCC5	REAL
@ATTRIBUTE STD_GFCC6	REAL
@ATTRIBUTE STD_GFCC7	REAL
@ATTRIBUTE STD_GFCC8	REAL
@ATTRIBUTE STD_GFCC9	REAL
@ATTRIBUTE STD_GFCC10	REAL
@ATTRIBUTE STD_GFCC11	REAL
@ATTRIBUTE STD_GFCC12	REAL
@ATTRIBUTE STD_GFCC13	REAL
@ATTRIBUTE STD_GFCC14	REAL
@ATTRIBUTE STD_GFCC15	REAL
@ATTRIBUTE STD_GFCC16	REAL
@ATTRIBUTE STD_GFCC17	REAL
@ATTRIBUTE STD_GFCC18	REAL
@ATTRIBUTE STD_GFCC19	REAL
@ATTRIBUTE STD_GFCC20	REAL
@ATTRIBUTE STD_GFCC21	REAL
@ATTRIBUTE STD_GFCC22	REAL
@ATTRIBUTE STD_GFCC23	REAL
@ATTRIBUTE STD_GFCC24	REAL
@ATTRIBUTE STD_GFCC25	REAL
@ATTRIBUTE STD_GFCC26	REAL
@ATTRIBUTE STD_GFCC27	REAL
@ATTRIBUTE STD_GFCC28	REAL
@ATTRIBUTE STD_GFCC29	REAL
@ATTRIBUTE STD_GFCC30	REAL
@ATTRIBUTE STD_GFCC31	REAL
@ATTRIBUTE STD_GFCC32	REAL
@ATTRIBUTE STD_GFCC33	REAL
@ATTRIBUTE STD_GFCC34	REAL
@ATTRIBUTE STD_GFCC35	REAL
@ATTRIBUTE STD_GFCC36	REAL
@ATTRIBUTE STD_GFCC37	REAL
@ATTRIBUTE STD_GFCC38	REAL
@ATTRIBUTE STD_GFCC39	REAL
@ATTRIBUTE STD_GFCC40	REAL
@ATTRIBUTE class 	{CrackleTest}

@DATA
-293.732696533,77.1322479248,-0.508240938187,-3.32429385185,-3.81581306458,3.9337990284,-2.51511383057,-5.800096035,-7.09686803818,-6.31864643097,-6.51599264145,-8.53821277618,-12.6875562668,-14.8806972504,-12.1494264603,-5.07165050507,-1.02819275856,-1.35348761082,-3.91413998604,-2.92694854736,-0.627610623837,-0.268990844488,-2.46092987061,-3.3155734539,-1.96986830235,0.108067199588,0.525787949562,-0.00410909997299,0.0756053701043,0.964483141899,1.86536252499,2.04164814949,1.8579647541,1.86761724949,1.85397994518,1.63975656033,1.34505653381,1.14570331573,0.740386366844,0.35298627615,173.210723877,53.2173423767,20.583732605,25.2502651215,14.4002799988,10.4021472931,8.63555622101,7.28585195541,7.49832725525,6.65115737915,6.9330034256,5.29267120361,5.53407716751,5.4329791069,4.95860481262,4.52142858505,5.25384378433,3.76622700691,3.59468984604,3.28713393211,2.89562106133,3.02869534492,2.66013717651,2.60396552086,2.34045362473,2.74029994011,2.34719085693,2.13741493225,2.05190873146,1.95052349567,1.85340809822,1.69542431831,1.34305655956,1.31831848621,1.35034179688,1.33322966099,1.29742598534,1.11069536209,1.20746159554,1.14607775211,CrackleTest
-269.329559326,82.5551452637,0.711307108402,-2.17323613167,-2.8671734333,5.02461910248,-2.35082554817,-5.36411714554,-7.5928235054,-6.13374471664,-6.95539283752,-8.80964756012,-13.4082927704,-15.3788547516,-12.7135019302,-5.31280755997,-0.978749155998,-1.31387579441,-3.88238883018,-3.00905823708,-0.769860804081,-0.238903522491,-2.49006605148,-3.41988992691,-1.96656966209,0.245776504278,0.570529818535,-0.0601776912808,-0.0190755464137,1.04039549828,1.90660011768,2.11638569832,1.91608738899,1.9608925581,1.89955842495,1.77552235126,1.43430101871,1.18687236309,0.800966441631,0.390994668007,101.773681641,47.4209365845,19.5189533234,25.092672348,14.1728401184,9.79433441162,8.02869606018,7.15564537048,6.77557468414,6.50713348389,6.39980268478,5.02858018875,4.32198905945,4.89915037155,4.22527647018,4.4475235939,5.1612663269,3.75856351852,3.58223795891,3.17706394196,2.84662246704,2.99159169197,2.65067791939,2.48355650902,2.28593611717,2.65359377861,2.34961342812,2.08692860603,1.94698572159,1.77194440365,1.82279002666,1.61192774773,1.25962388515,1.16936981678,1.28697001934,1.25099074841,1.2744191885,1.09461355209,1.15758109093,1.12050402164,CrackleTest
-282.811676025,82.4141235352,0.395615458488,-2.37742066383,-2.7967274189,5.2092666626,-2.29057455063,-5.47226572037,-7.85158443451,-6.28735399246,-6.94661521912,-8.70631313324,-13.3890657425,-15.4595623016,-12.8207244873,-5.35476446152,-0.958548545837,-1.32050359249,-3.95957136154,-3.13373780251,-0.92075920105,-0.378974080086,-2.58585810661,-3.4480984211,-1.95444977283,0.262249022722,0.571988582611,-0.0626977011561,-0.0305568650365,1.02933180332,1.92110085487,2.13917541504,1.91642928123,1.94868385792,1.89917862415,1.76851761341,1.41457951069,1.17545771599,0.80363202095,0.396553456783,98.3424072266,47.0552635193,18.7681560516,24.809627533,14.1214990616,9.73147201538,7.96306228638,7.11182165146,6.87355327606,6.63148880005,6.4015288353,5.00809526443,4.27321147919,4.78463935852,4.1387257576,4.44385290146,5.12935829163,3.72494316101,3.54261827469,3.12016034126,2.900411129,3.05663061142,2.63110160828,2.47073817253,2.30002093315,2.68683743477,2.36737823486,2.09209823608,1.95242393017,1.7662422657,1.79665780067,1.6232585907,1.28284788132,1.16528487206,1.33356690407,1.31677079201,1.29301333427,1.08883833885,1.15185904503,1.13039517403,CrackleTest
-293.323577881,83.3768768311,0.102695100009,-3.26772046089,-3.51507210732,4.78618144989,-2.57466983795,-5.72644519806,-8.1312828064,-6.20087194443,-6.59013080597,-8.47159385681,-13.4503355026,-15.6484174728,-12.9291648865,-5.28706026077,-0.836729645729,-1.30821537971,-4.01797389984,-3.14114332199,-0.834683060646,-0.312201529741,-2.67849779129,-3.63802814484,-2.0893163681,0.273493558168,0.594953536987,-0.0835501253605,-0.0413376316428,1.0493439436,1.9633846283,2.17795729637,1.92905128002,1.93392884731,1.87026977539,1.7194839716,1.3490691185,1.12602245808,0.80274450779,0.409006714821,89.1807861328,46.8969802856,18.2440700531,24.3990516663,13.9672994614,9.741563797,7.81890201569,7.04665613174,6.9234585762,6.66953611374,6.65486621857,5.03582382202,4.48090410233,4.96627187729,4.15574884415,4.49119377136,5.15081739426,3.79095482826,3.58379030228,3.15807008743,2.94263029099,3.07580661774,2.62087798119,2.47148084641,2.33596134186,2.76048207283,2.40516066551,2.13053369522,2.00545716286,1.80882155895,1.80720591545,1.63514816761,1.31123244762,1.2028657198,1.36348259449,1.32153332233,1.28116714954,1.09563195705,1.16686105728,1.13981509209,CrackleTest
-308.254119873,84.6272583008,0.0120792249218,-3.88810396194,-3.94806790352,4.47680521011,-2.83397769928,-5.9988322258,-8.36593341827,-6.33786249161,-6.50986766815,-8.3757314682,-13.4598760605,-15.7682285309,-12.9477243423,-5.12385702133,-0.626507997513,-1.21145021915,-4.03764486313,-3.21217036247,-0.910685539246,-0.39410597086,-2.78157258034,-3.72531604767,-2.10371732712,0.333557784557,0.626479804516,-0.106187440455,-0.0764119550586,1.01990020275,1.93842422962,2.15485906601,1.91759812832,1.9248008728,1.86430966854,1.74015450478,1.38611328602,1.14367246628,0.769590497017,0.367065817118,78.7828292847,47.2691459656,18.3876609802,24.0846729279,13.7647371292,9.70246601105,7.74228286743,7.058842659,7.0836853981,6.78885746002,6.77014017105,5.23802518845,4.55806398392,4.99837970734,4.25153064728,4.48334789276,5.07482385635,3.85335350037,3.62180638313,3.16117739677,3.00448393822,3.12026286125,2.62916493416,2.46256327629,2.35256671906,2.75566506386,2.38462686539,2.13971996307,2.02686429024,1.81421875954,1.79271650314,1.62893974781,1.31640040874,1.21341323853,1.37804043293,1.33840429783,1.30876648426,1.1105889082,1.16460466385,1.13635504246,CrackleTest
-313.327972412,85.1258850098,-0.0655204951763,-3.89663624763,-3.70400810242,4.48779392242,-2.99444699287,-6.30124998093,-8.87631702423,-6.77304124832,-6.65880298615,-8.34327125549,-13.4325447083,-15.8061609268,-13.0034217834,-5.13498878479,-0.5892354846,-1.15867292881,-3.97760081291,-3.20523905754,-0.939399242401,-0.488035082817,-2.91465234756,-3.86731314659,-2.20828175545,0.249966993928,0.557605206966,-0.116827234626,-0.0588046163321,1.0326551199,1.91188383102,2.09826683998,1.88599348068,1.93072581291,1.89392447472,1.74385786057,1.37964439392,1.13114798069,0.762853622437,0.37145203352,78.1278991699,47.4598655701,18.2791881561,24.282869339,13.7841491699,9.59551334381,7.47855091095,6.89584779739,7.12273263931,7.07603645325,6.80702877045,5.20814037323,4.61618900299,5.01202392578,4.16283130646,4.43812513351,5.03474140167,3.79778933525,3.55021095276,3.14621376991,2.99821424484,3.09829044342,2.57765483856,2.43332791328,2.34735321999,2.76653027534,2.38585972786,2.1074283123,1.9723123312,1.78060555458,1.80591976643,1.64142453671,1.32512760162,1.21072089672,1.36354243755,1.3450460434,1.30866098404,1.09678804874,1.16973805428,1.14321374893,CrackleTest
-311.449279785,86.7545013428,-1.3716943264,-5.79590940475,-4.3987288475,4.62433767319,-2.95370936394,-6.46793222427,-8.86748600006,-6.45603990555,-6.19371938705,-7.98815250397,-13.4013586044,-16.0126552582,-13.170627594,-5.16023683548,-0.598245382309,-1.29875171185,-4.19669532776,-3.36089015007,-1.00093770027,-0.540550172329,-2.98006081581,-3.8683693409,-2.11760902405,0.367903709412,0.638934969902,-0.0799414888024,-0.0523698814213,1.01333224773,1.87151396275,2.06138539314,1.87082624435,1.9326621294,1.90647161007,1.73702216148,1.32956469059,1.06485784054,0.727675676346,0.369703710079,77.6088409424,48.1905212402,19.2322559357,26.0233688354,14.3884925842,9.4948091507,7.57686281204,7.18860578537,7.20033550262,7.15363883972,6.92592048645,5.28440570831,4.62063503265,5.02136659622,4.11292695999,4.42115259171,5.01970672607,3.86456084251,3.60284113884,3.12941598892,3.02035999298,3.06236815453,2.52876877785,2.41182279587,2.34013342857,2.76865839958,2.42241501808,2.1725358963,1.99968862534,1.77578055859,1.80500566959,1.65244412422,1.35745561123,1.23418879509,1.35803627968,1.33492457867,1.30561804771,1.12465798855,1.17454624176,1.12807714939,CrackleTest
-310.025054932,90.2900009155,-3.72868251801,-9.45308303833,-5.778175354,4.69794940948,-3.26824331284,-7.23854541779,-9.37517738342,-6.4369225502,-5.78094816208,-7.49361991882,-13.1302852631,-16.0515499115,-13.1729192734,-4.81727313995,-0.173775717616,-1.26841378212,-4.53084564209,-3.59481453896,-0.909238874912,-0.389775872231,-3.00002646446,-3.96615982056,-2.101364851,0.467091113329,0.65662163496,-0.132943615317,-0.0532929413021,1.07143557072,1.88047492504,2.00230741501,1.83322739601,1.94749832153,1.90510904789,1.67813122272,1.25958228111,1.04665565491,0.767444908619,0.416320949793,79.216293335,50.0031356812,20.7198238373,28.5470657349,15.6355648041,9.6318063736,8.07180786133,7.68455076218,7.30631542206,7.16049575806,7.28953933716,5.57125425339,4.73752832413,5.25366353989,4.32291936874,4.6174826622,5.18051338196,3.88838839531,3.73803019524,3.24209952354,3.0389726162,3.05086255074,2.55703377724,2.44525551796,2.35334134102,2.78673815727,2.43279910088,2.17758750916,1.99960267544,1.79804027081,1.8377392292,1.65703010559,1.37333607674,1.24064147472,1.36717057228,1.35035574436,1.28869283199,1.13454723358,1.16591250896,1.11367213726,CrackleTest
-303.616455078,93.6871261597,-6.50696277618,-13.634595871,-7.44630670547,4.42931890488,-3.69578361511,-7.40640830994,-9.10573291779,-5.95994758606,-5.37315416336,-7.15925645828,-13.0454139709,-16.4020252228,-13.5566587448,-4.87299108505,-0.0518333427608,-1.3060413599,-4.76967000961,-3.75258040428,-0.869647204876,-0.33073836565,-3.00836277008,-3.9680788517,-2.04573988914,0.539283573627,0.659303963184,-0.205828949809,-0.153065010905,0.979014098644,1.7994287014,1.91081953049,1.75973796844,1.93811154366,1.9510756731,1.72274744511,1.26568961143,1.03455257416,0.773873925209,0.42854654789,85.5150909424,50.9497909546,22.8288497925,31.4923534393,16.7398395538,9.66934585571,8.87841320038,7.72619199753,7.49273872375,7.47126960754,7.4007191658,5.74093055725,5.04509782791,5.29123973846,4.37503576279,4.64144897461,5.25970602036,4.06614398956,3.81625676155,3.3263232708,3.15816497803,3.1262152195,2.65750145912,2.44264316559,2.36369228363,2.82452249527,2.43413805962,2.15517163277,1.98713552952,1.85029149055,1.93931102753,1.7476888895,1.40898954868,1.23432469368,1.38395881653,1.36915946007,1.30260372162,1.14596879482,1.1507486105,1.1060757637,CrackleTest
-301.513885498,96.112121582,-8.24839496613,-16.1848869324,-8.35897350311,4.42826795578,-3.99951934814,-7.79006004333,-9.05244541168,-5.65012979507,-5.16150140762,-7.0573759079,-13.042391777,-16.5440635681,-13.7332220078,-4.88202047348,0.0478842072189,-1.36321532726,-4.99085378647,-3.89291501045,-0.831389605999,-0.275791108608,-3.03344631195,-3.99486541748,-2.01628708839,0.56444466114,0.645502269268,-0.235487490892,-0.181870102882,0.955823302269,1.78168785572,1.87990689278,1.72134292126,1.93147623539,1.97088074684,1.70600616932,1.19840073586,0.984198331833,0.788133025169,0.469153404236,86.8403701782,52.2895736694,23.6494884491,33.0667419434,17.1516532898,9.80147647858,8.88590812683,7.71106243134,7.57533788681,7.71120452881,7.51948022842,5.84318256378,5.08876180649,5.22397279739,4.42294168472,4.67927503586,5.28793287277,4.07310295105,3.98058819771,3.45520377159,3.21546530724,3.15098619461,2.66194319725,2.50066804886,2.38594841957,2.75383925438,2.37438130379,2.13107323647,1.96757185459,1.84734261036,1.95895969868,1.76104640961,1.42859256268,1.24200797081,1.37267208099,1.37173974514,1.28717529774,1.17886686325,1.15753424168,1.09644663334,CrackleTest
